投标文件密封不严应……？,投标文件密封不严应拒收。,水利监理考点
投标文件逾期送达应……？,投标文件逾期送达应拒收。,水利监理考点
投标保证金不足应……？,投标保证金不足应否决投标。,水利监理考点
投标人资质不符应……？,投标人资质不符应否决投标。,水利监理考点
考点 5,有效投标不足三个可否决全部投标。,水利监理考点
招标公告必须……？,招标公告必须包含资金来源。,水利监理考点
招标公告必须……？,招标公告必须包含资质要求。,水利监理考点
潜在投标人签到表严禁……？,潜在投标人签到表严禁混用。,水利监理考点
招标人不得……？,招标人不得仅答复部分投标人。,水利监理考点
招标文件修改应……？,招标文件修改应在截止前15日通知。,水利监理考点
顺延截止时间需……？,顺延截止时间需书面通知所有投标人。,水利监理考点
考点 12,存在控股关系的投标人投标无效。,水利监理考点
考点 13,总监社保不在投标人处视为弄虚作假。,水利监理考点
考点 14,投标文件装错信封视为串通投标。,水利监理考点
主体工程开工需……？,主体工程开工需在初设批准后。,水利监理考点
开工备案应……？,开工备案应在15个工作日内完成。,水利监理考点
新材料施工前需……？,新材料施工前需专题论证。,水利监理考点
新装备施工前需……？,新装备施工前需履行审批手续。,水利监理考点
重大设计变更需……？,重大设计变更需报原审批部门。,水利监理考点
监理单位严禁……？,监理单位严禁允许关联方供材。,水利监理考点
监理任务严禁……？,监理任务严禁私下分包。,水利监理考点
临时聘用人员需……？,临时聘用人员需签订正式协议。,水利监理考点
分包单位需……？,分包单位需报发包人审批。,水利监理考点
总监不得……？,总监不得直接审批分包单位。,水利监理考点
发包人要求使用不合格材料总监应……？,发包人要求使用不合格材料总监应拒绝。,水利监理考点
监理实施细则需……？,监理实施细则需在施工措施批准后编制。,水利监理考点
监理实施细则应……？,监理实施细则应按进度分阶段编制。,水利监理考点
考点 28,监理员无权编制监理实施细则。,水利监理考点
监理实施细则由……？,监理实施细则由监理工程师组织编制。,水利监理考点
监理实施细则由……？,监理实施细则由总监审批。,水利监理考点
细则需……？,细则需包含检查和检验项目标准。,水利监理考点
细则需……？,细则需包含资料和质量评定要求。,水利监理考点
细则需……？,细则需包含采用的表式清单。,水利监理考点
隐蔽工程覆盖前必须……？,隐蔽工程覆盖前必须通知监理。,水利监理考点
考点 35,私自覆盖隐蔽工程监理有权要求重检。,水利监理考点
考点 36,不可抗力导致材料损坏发包人担责。,水利监理考点
不可抗力导致工期延误应……？,不可抗力导致工期延误应予顺延。,水利监理考点
试验检测合格费用由……？,试验检测合格费用由发包人承担。,水利监理考点
变更指示必须……？,变更指示必须由监理人发出。,水利监理考点
发包人不得……？,发包人不得直接向承包人发变更指示。,水利监理考点
原合同已含工艺不得……？,原合同已含工艺不得重复计价。,水利监理考点
征地延误导致停工承包人仍需……？,征地延误导致停工承包人仍需赶工。,水利监理考点
不利物质条件损失由……？,不利物质条件损失由发包人承担。,水利监理考点
考点 44,签收清单不代表认可材料质量。,水利监理考点
供货方违约导致额外采购费由……？,供货方违约导致额外采购费由其承担。,水利监理考点
考点 46,发包人未付预付款属于违约。,水利监理考点
考点 47,承包人私撤工具属于违约。,水利监理考点
考点 48,承包人拒绝清除不合格钢筋属于违约。,水利监理考点
见证取样需……？,见证取样需监理与承包人共同签字。,水利监理考点
地质编录应……？,地质编录应报请设代机构进行。,水利监理考点
承包人必须……？,承包人必须检测发包人提供的材料。,水利监理考点
考点 52,补强后的单元工程最高评为合格。,水利监理考点
永久性缺陷单元工程需……？,永久性缺陷单元工程需备案。,水利监理考点
考点 54,关键单元优良率达90%方可评优。,水利监理考点
发生较大质量事故不得……？,发生较大质量事故不得评为优良。,水利监理考点
EPC主体工程严禁……？,EPC主体工程严禁违法分包。,水利监理考点
考点 57,承包人无法履约发包人可解约。,水利监理考点
考点 58,独立保函索赔不受基础合同影响。,水利监理考点
考点 59,招标可引用“参照或相当于”说明。,水利监理考点
考点 60,卖方未参加开箱视为接受结果。,水利监理考点
考点 61,质保期内故障修复后重新计算。,水利监理考点
平行检测不合格应……？,平行检测不合格应组织原因分析。,水利监理考点
考点 63,实体检测是判断质量的最终依据。,水利监理考点
监理发现不合格应……？,监理发现不合格应提请发包人论证。,水利监理考点
旁站监理范围由……？,旁站监理范围由规范和合同约定。,水利监理考点
分部验收组不应……？,分部验收组不应包括质监机构。,水利监理考点
考点 67,验收组每个单位代表不超2名。,水利监理考点
分部验收由……？,分部验收由项目法人或监理主持。,水利监理考点
考点 69,提前使用工程缺陷责任期从使用起算。,水利监理考点
考点 70,缺陷责任期通常为一年。,水利监理考点
混凝土强度最小值需……？,混凝土强度最小值需符合规范。,水利监理考点
考点 72,排列图法可分析质量主次因素。,水利监理考点
考点 73,累计频率0-80%为A类主要因素。,水利监理考点
缆风绳严禁……？,缆风绳严禁固定在脚手架体上。,水利监理考点
模板支架严禁……？,模板支架严禁固定在作业脚手架上。,水利监理考点
考点 76,炸药库距村庄不小于300米。,水利监理考点
雷管与炸药严禁……？,雷管与炸药严禁同车运输。,水利监理考点
安全事故应……？,安全事故应在1小时内上报。,水利监理考点
事故处理需……？,事故处理需坚持“四不放过”。,水利监理考点
考点 80,静态总投资不含价差预备费。,水利监理考点
考点 81,建设期利息属于动态投资。,水利监理考点
考点 82,混凝土单价包含直接费与间接费。,水利监理考点
考点 83,洞挖石方按设计图示尺寸计量。,水利监理考点
考点 84,实际超挖量通常不予计量。,水利监理考点
暂估价项目需……？,暂估价项目需履行招投标程序。,水利监理考点
暂列金额由……？,暂列金额由发包人掌握使用。,水利监理考点
考点 87,预付款扣回通常按比例进行。,水利监理考点
考点 88,质量保证金总额通常为合同价3%-5%。,水利监理考点
考点 89,变更工程款不计入预付款扣回基数。,水利监理考点
索赔金额需……？,索赔金额需单独核算支付。,水利监理考点
尚未竣工建筑物严禁……？,尚未竣工建筑物严禁设员工宿舍。,水利监理考点
安全措施费严禁……？,安全措施费严禁挪作他用。,水利监理考点
架子工必须……？,架子工必须持证上岗。,水利监理考点
脚手架严禁……？,脚手架严禁上下层同时拆除。,水利监理考点
拆除材料严禁……？,拆除材料严禁抛掷。,水利监理考点
考点 96,专职安全员有权制止违章行为。,水利监理考点
图面变更超20%应……？,图面变更超20%应重绘竣工图。,水利监理考点
监理需……？,监理需审核归档文件完整性。,水利监理考点
预付款扣回公式需……？,预付款扣回公式需严格执行。,水利监理考点
承包人违约需……？,承包人违约需承担发包人损失。,水利监理考点
发包人违约需……？,发包人违约需支付承包人退场费。,水利监理考点
考点 102,指数法用于调整大宗材料价差。,水利监理考点
公式法需……？,公式法需明确各权重系数。,水利监理考点
考点 104,费用偏差CV为负表示超支。,水利监理考点
考点 105,进度偏差SV为负表示落后。,水利监理考点
考点 106,费用绩效CPI小于1表示超支。,水利监理考点
考点 107,进度绩效SPI小于1表示落后。,水利监理考点
考点 108,关键线路是总持续时间最长的线路。,水利监理考点
压缩工期应……？,压缩工期应选赶工费最低的工作。,水利监理考点
考点 110,流水施工可有效缩短工期。,水利监理考点
考点 111,非关键工作延误不超总时差不影响工期。,水利监理考点
考点 112,关键工作延误必导致总工期延误。,水利监理考点
窝工损失由……？,窝工损失由承包人自行承担。,水利监理考点
赶工费由……？,赶工费由责任方承担。,水利监理考点
变更材料需……？,变更材料需取得设计书面同意。,水利监理考点
焊缝检测位置需……？,焊缝检测位置需符合规范要求。,水利监理考点
出厂试验必须……？,出厂试验必须项目完整。,水利监理考点
暂停施工指示需……？,暂停施工指示需由总监签发。,水利监理考点
考点 119,隐蔽工程重检合格发包人担责。,水利监理考点
考点 120,隐蔽工程重检不合格承包人担责。,水利监理考点
外协件加工前需……？,外协件加工前需查验材质证明。,水利监理考点
无损检测应……？,无损检测应按规范比例执行。,水利监理考点
不合格叶片应……？,不合格叶片应强制报废。,水利监理考点
扬程限制器需……？,扬程限制器需满足泄洪需求。,水利监理考点
荷重传感器安装位置需……？,荷重传感器安装位置需防损。,水利监理考点
双电动葫芦需……？,双电动葫芦需设刚性同步轴。,水利监理考点
铸件裂纹严禁……？,铸件裂纹严禁私自补焊。,水利监理考点
材质证明缺失设备不得……？,材质证明缺失设备不得出厂。,水利监理考点
监理应……？,监理应加强设备制造巡视。,水利监理考点
卷筒存在裂纹必须……？,卷筒存在裂纹必须报废。,水利监理考点
考点 131,监理未核验材质证明属失职。,水利监理考点
螺栓强度不合格严禁……？,螺栓强度不合格严禁使用。,水利监理考点
结构材料替代需……？,结构材料替代需设计批准。,水利监理考点
发包人不得……？,发包人不得口头要求加固。,水利监理考点
新型水泵制造前需……？,新型水泵制造前需模型试验。,水利监理考点
考点 136,渗透检测仅能发现表面缺陷。,水利监理考点
考点 137,超声检测可发现内部缺陷。,水利监理考点
考点 138,调质工艺为淬火加高温回火。,水利监理考点
考点 139,低温回火不具备调质效果。,水利监理考点
叶轮尺寸需……？,叶轮尺寸需多截面测量。,水利监理考点
出厂验收由……？,出厂验收由发包人或总监主持。,水利监理考点
考点 142,驻厂监理无权主持出厂验收。,水利监理考点
验收小组必须……？,验收小组必须包含设计代表。,水利监理考点
压力钢管需……？,压力钢管需提供防腐证明。,水利监理考点
低温焊接需……？,低温焊接需采取预热措施。,水利监理考点
高风速下焊接需……？,高风速下焊接需设防风棚。,水利监理考点
焊缝检测需……？,焊缝检测需在24小时后进行。,水利监理考点
一类焊缝必须……？,一类焊缝必须100%探伤。,水利监理考点
考点 149,二类焊缝探伤比例为50%。,水利监理考点
除锈后2小时内必须……？,除锈后2小时内必须涂装。,水利监理考点
涂装环境湿度不得……？,涂装环境湿度不得超85%。,水利监理考点
测量工具需……？,测量工具需经有资质部门校正。,水利监理考点
钢丝线直径应……？,钢丝线直径应为0.3-0.4mm。,水利监理考点
考点 154,耐压试验压力为1.25倍工作压力。,水利监理考点
考点 155,耐压试验保压时间为30分钟。,水利监理考点
甩负荷试验需……？,甩负荷试验需逐步进行。,水利监理考点
电压摆动次数不得……？,电压摆动次数不得超3次。,水利监理考点
闸门止水压缩量需……？,闸门止水压缩量需符合设计。,水利监理考点
考点 159,启闭机空载试验不少于3次。,水利监理考点
考点 160,启闭机负荷试验为1.1倍额定。,水利监理考点
钢管壁厚偏差需……？,钢管壁厚偏差需在允许范围。,水利监理考点
焊缝余高不得……？,焊缝余高不得超过规范值。,水利监理考点
错边量超标需……？,错边量超标需打磨处理。,水利监理考点
涂层厚度需……？,涂层厚度需用测厚仪检测。,水利监理考点
附着力测试需……？,附着力测试需符合规范。,水利监理考点
轴承组合隙需……？,轴承组合隙需专项测量。,水利监理考点
导叶间隙需……？,导叶间隙需在关闭状态测量。,水利监理考点
绝缘电阻需……？,绝缘电阻需符合等级要求。,水利监理考点
充油设备严禁……？,充油设备严禁渗漏。,水利监理考点
仪表校验有效期需……？,仪表校验有效期需在期内。,水利监理考点
吊装方案需……？,吊装方案需经总监审批。,水利监理考点
危险性较大工程需……？,危险性较大工程需专家论证。,水利监理考点
施工现场需……？,施工现场需设安全警示标志。,水利监理考点
特种作业人员必须……？,特种作业人员必须持证。,水利监理考点
监理日志需……？,监理日志需真实记录进度。,水利监理考点
监理月报需……？,监理月报需报送发包人。,水利监理考点
工程变更需……？,工程变更需签发变更令。,水利监理考点
索赔意向书需……？,索赔意向书需在28天内提交。,水利监理考点
索赔通知书需……？,索赔通知书需附详细证据。,水利监理考点
最终结清申请单需……？,最终结清申请单需总监签字。,水利监理考点
监理规划由……？,监理规划由总监组织编制。,水利监理考点
监理规划由……？,监理规划由监理单位技术负责人审批。,水利监理考点
监理规划需……？,监理规划需在合同签订后编制。,水利监理考点
监理规划需……？,监理规划需在第一次工地会议前报送。,水利监理考点
监理机构人员需……？,监理机构人员需满足工作需要。,水利监理考点
总监代表需……？,总监代表需由总监书面授权。,水利监理考点
总监代表不得……？,总监代表不得审批监理规划。,水利监理考点
总监代表不得……？,总监代表不得签发开工令。,水利监理考点
总监代表不得……？,总监代表不得签发支付证书。,水利监理考点
考点 190,监理员负责旁站并记录。,水利监理考点
考点 191,监理工程师负责处理索赔初审。,水利监理考点
第一次工地会议由……？,第一次工地会议由发包人主持。,水利监理考点
监理例会由……？,监理例会由总监主持。,水利监理考点
考点 194,专题会议解决专项质量问题。,水利监理考点
开工通知应……？,开工通知应提前7天发出。,水利监理考点
暂停施工原因消除后应……？,暂停施工原因消除后应及时复工。,水利监理考点
考点 197,承包人未按指示复工属违约。,水利监理考点
考点 198,质量评定分为合格与优良。,水利监理考点
单元工程由……？,单元工程由监理工程师核定。,水利监理考点
分部工程由……？,分部工程由质量监督机构核备。,水利监理考点
单位工程由……？,单位工程由质量监督机构核定。,水利监理考点
完工验收由……？,完工验收由发包人主持。,水利监理考点
竣工验收由……？,竣工验收由竣工验收委员会主持。,水利监理考点
档案资料需……？,档案资料需随工程进度同步收集。,水利监理考点
电子档案需……？,电子档案需与纸质档案一致。,水利监理考点
监理文件需……？,监理文件需按规定期限保存。,水利监理考点
施工单位需……？,施工单位需建立质量保证体系。,水利监理考点
监理单位需……？,监理单位需建立质量控制体系。,水利监理考点
发包人需……？,发包人需建立质量管理体系。,水利监理考点
考点 210,三检制指自检、互检、专检。,水利监理考点
见证取样比例不低于……？,见证取样比例不低于20%。,水利监理考点
平行检测比例不低于……？,平行检测比例不低于3%或1%。,水利监理考点
跟踪检测比例不低于……？,跟踪检测比例不低于7%或10%。,水利监理考点
质量缺陷备案表需……？,质量缺陷备案表需各方签字。,水利监理考点
考点 215,质量事故分为四个等级。,水利监理考点
特大事故需……？,特大事故需报水利部。,水利监理考点
事故调查组由相应……？,事故调查组由相应政府部门组织。,水利监理考点
考点 218,安全生产第一责任人是法人。,水利监理考点
施工单位需……？,施工单位需设安全生产管理机构。,水利监理考点
安全专项方案需……？,安全专项方案需施工技术负责人签字。,水利监理考点
监理需……？,监理需审查安全技术措施。,水利监理考点
发现安全隐患应……？,发现安全隐患应要求整改。,水利监理考点
情况严重应……？,情况严重应要求暂停施工。,水利监理考点
承包人拒不整改应……？,承包人拒不整改应报主管部门。,水利监理考点
考点 225,投资控制重点在施工阶段。,水利监理考点
资金使用计划需……？,资金使用计划需按月编制。,水利监理考点
工程计量需……？,工程计量需经监理核实。,水利监理考点
支付证书需……？,支付证书需在规定时间内签发。,水利监理考点
价格调整公式需……？,价格调整公式需考虑物价波动。,水利监理考点
计日工需……？,计日工需按实际发生计量。,水利监理考点
考点 231,进度控制目标是合同工期。,水利监理考点
进度计划需……？,进度计划需反映关键线路。,水利监理考点
进度偏差需……？,进度偏差需分析对后续影响。,水利监理考点
考点 234,赶工措施包括技术与组织措施。,水利监理考点
考点 235,合同管理是监理的核心工作。,水利监理考点
考点 236,违约金上限受法律保护。,水利监理考点
考点 237,争议解决首选友好协商。,水利监理考点
考点 238,协商不成可申请行政调解。,水利监理考点
考点 239,最终手段是仲裁或诉讼。,水利监理考点
监理应……？,监理应保持公正独立立场。,水利监理考点
严禁……？,严禁收受承包人任何财物。,水利监理考点
严禁……？,严禁参与任何损害发包人利益活动。,水利监理考点
信息管理需……？,信息管理需确保数据准确。,水利监理考点
监理月报应……？,监理月报应包含质量安全统计。,水利监理考点
组织协调需……？,组织协调需提高沟通效率。,水利监理考点
考点 246,现场协调会解决工序衔接。,水利监理考点
设备监造需……？,设备监造需驻厂跟踪。,水利监理考点
关键部位监造需……？,关键部位监造需设停止点。,水利监理考点
监造报告需……？,监造报告需定期提交。,水利监理考点
监理工作总结需……？,监理工作总结需在验收前完成。,水利监理考点
